excursion_transition_timestamp,file,raw_line_number,raw_line_text
2019-09-03 14:42:00,Overview.csv,6007,"2019-09-03T14:42,236.0,0.0,40.0,39.0,1.0,1.0,0.0"
2019-09-03 14:42:00,Overview.csv,6006,"2019-09-03T14:40,54.0,0.0,40.0,40.0,0.0,0.0,0.0"
2019-08-17 13:03:00,Overview.csv,4697,"2019-08-17T13:03,243.0,0.0,35.0,38.0,1.0,1.0,0.0"
2019-08-17 13:03:00,Overview.csv,4695,"2019-08-17T13:00,43.0,0.0,35.0,40.0,0.0,0.0,0.0"
2019-08-09 14:20:00,Overview.csv,3898,"2019-08-09T14:20,246.0,0.0,39.0,38.0,1.0,1.0,1.0"
2019-08-09 14:20:00,Overview.csv,3897,"2019-08-09T14:17,50.0,0.0,39.0,39.0,0.0,0.0,1.0"
2019-08-16 15:00:00,Overview.csv,4604,"2019-08-16T15:00,39.0,0.0,32.0,40.0,0.0,0.0,0.0"
2019-08-16 15:00:00,Overview.csv,4603,"2019-08-16T14:55,243.0,0.0,32.0,39.0,1.0,1.0,0.0"
2019-08-19 15:21:00,Overview.csv,4907,"2019-08-19T15:21,247.0,0.0,38.0,38.0,1.0,1.0,0.0"
2019-08-19 15:21:00,Overview.csv,4906,"2019-08-19T15:15,47.0,0.0,39.0,40.0,0.0,0.0,0.0"
2019-06-29 12:53:00,Overview.csv,1003,"2019-06-29T12:53,33.0,0.0,33.0,39.0,0.0,0.0,0.0"
2019-06-29 12:53:00,Overview.csv,1001,"2019-06-29T12:52,0.0,0.0,0.0,36.0,0.0,0.0,0.0"
2019-07-08 13:26:00,Overview.csv,1802,"2019-07-08T13:26,30.0,0.0,31.0,38.0,0.0,0.0,0.0"
2019-07-08 13:26:00,Overview.csv,1800,"2019-07-08T13:25,0.0,0.0,31.0,38.0,0.0,0.0,0.0"
2019-08-18 13:08:00,Overview.csv,4796,"2019-08-18T13:08,246.0,0.0,34.0,38.0,1.0,1.0,0.0"
2019-08-18 13:08:00,Overview.csv,4795,"2019-08-18T13:00,43.0,0.0,35.0,40.0,0.0,0.0,0.0"
2019-07-16 13:38:00,Overview.csv,2169,"2019-07-16T13:38,245.0,0.0,38.0,38.0,1.0,1.0,1.0"
2019-07-16 13:38:00,Overview.csv,2168,"2019-07-16T13:30,47.0,0.0,37.0,39.0,0.0,0.0,1.0"
2019-09-03 15:08:00,Overview.csv,6010,"2019-09-03T15:08,52.0,0.0,39.0,39.0,0.0,0.0,0.0"
2019-09-03 15:08:00,Overview.csv,6009,"2019-09-03T15:00,248.0,0.0,39.0,39.0,1.0,1.0,0.0"
2019-08-16 12:39:00,Overview.csv,4593,"2019-08-16T12:39,244.0,0.0,33.0,38.0,1.0,1.0,0.0"
2019-08-16 12:39:00,Overview.csv,4592,"2019-08-16T12:30,38.0,0.0,33.0,40.0,0.0,0.0,0.0"
2019-08-16 09:39:00,Overview.csv,4578,"2019-08-16T09:39,238.0,0.0,31.0,39.0,1.0,1.0,0.0"
2019-08-16 09:39:00,Overview.csv,4577,"2019-08-16T09:30,36.0,0.0,30.0,40.0,0.0,0.0,0.0"
2019-06-27 15:42:00,Overview.csv,354,"2019-06-27T15:42,13.0,0.0,0.0,39.0,0.0,0.0,0.0"
2019-06-27 15:42:00,Overview.csv,352,"2019-06-27T15:41,35.0,0.0,35.0,39.0,0.0,0.0,0.0"
2019-08-17 10:29:00,Overview.csv,4684,"2019-08-17T10:29,239.0,0.0,32.0,39.0,1.0,1.0,0.0"
2019-08-17 10:29:00,Overview.csv,4683,"2019-08-17T10:15,36.0,0.0,31.0,40.0,0.0,0.0,0.0"
2019-08-16 10:30:00,Overview.csv,4582,"2019-08-16T10:30,36.0,0.0,31.0,40.0,0.0,0.0,0.0"
2019-08-16 10:30:00,Overview.csv,4581,"2019-08-16T10:15,243.0,0.0,32.0,39.0,1.0,1.0,0.0"
2019-08-17 14:15:00,Overview.csv,4702,"2019-08-17T14:15,41.0,0.0,33.0,40.0,0.0,0.0,0.0"
2019-08-17 14:15:00,Overview.csv,4701,"2019-08-17T14:00,244.0,0.0,35.0,38.0,1.0,1.0,0.0"
2019-08-19 16:15:00,Overview.csv,4911,"2019-08-19T16:15,43.0,0.0,34.0,40.0,0.0,0.0,0.0"
2019-08-19 16:15:00,Overview.csv,4910,"2019-08-19T16:00,244.0,0.0,39.0,38.0,1.0,1.0,0.0"
2019-08-18 13:45:00,Overview.csv,4799,"2019-08-18T13:45,41.0,0.0,33.0,40.0,0.0,0.0,0.0"
2019-08-18 13:45:00,Overview.csv,4798,"2019-08-18T13:30,242.0,0.0,34.0,38.0,1.0,1.0,0.0"
2019-08-09 14:45:00,Overview.csv,3900,"2019-08-09T14:45,48.0,0.0,39.0,39.0,0.0,0.0,1.0"
2019-08-09 14:45:00,Overview.csv,3899,"2019-08-09T14:30,246.0,0.0,38.0,38.0,1.0,1.0,1.0"
2019-07-16 14:15:00,Overview.csv,2172,"2019-07-16T14:15,49.0,0.0,36.0,39.0,0.0,0.0,1.0"
2019-07-16 14:15:00,Overview.csv,2171,"2019-07-16T14:00,246.0,0.0,38.0,38.0,1.0,1.0,1.0"
2019-08-22 13:48:00,Overview.csv,5184,"2019-08-22T13:48,250.0,0.0,38.0,38.0,1.0,1.0,0.0"
2019-08-22 13:48:00,Overview.csv,5183,"2019-08-22T13:30,50.0,0.0,37.0,39.0,0.0,0.0,0.0"
2019-06-27 11:38:00,Overview.csv,40,"2019-06-27T11:38,34.0,0.0,34.0,38.0,0.0,0.0,0.0"
2019-06-27 11:38:00,Overview.csv,38,"2019-06-27T11:34,0.0,0.0,0.0,39.0,0.0,0.0,0.0"
2019-08-17 12:21:00,Overview.csv,4691,"2019-08-17T12:21,38.0,0.0,33.0,39.0,0.0,0.0,0.0"
2019-08-17 12:21:00,Overview.csv,4690,"2019-08-17T11:45,242.0,0.0,34.0,39.0,1.0,1.0,0.0"
