policy,filter_type,threshold,gap_policy,seed,events_detected_of_10,detection_rate,events_detected_in_zone_of_10,mean_lead_time_min,median_lead_time_min,false_alarm_episodes,false_alarm_rate_per_day,total_flagged_rows,data_anomaly_rows,normal_days
P1_preserve,F3_combined,rate>15;OTI>70,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>15;OTI>80,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>15;OTI>90,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>15;OTI>100,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>15;OTI>150,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>15;OTI>200,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>15;OTI>236,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>20;OTI>45,reset,,10,1.0,10,15.4,3.0,70,0.239214,408,940,292.625
P1_preserve,F3_combined,rate>20;OTI>48,reset,,10,1.0,10,9.5,0.0,44,0.150363,193,940,292.625
P1_preserve,F3_combined,rate>20;OTI>50,reset,,10,1.0,10,6.4,0.0,19,0.06493,93,940,292.625
P1_preserve,F3_combined,rate>20;OTI>52,reset,,10,1.0,10,1.2,0.0,6,0.020504,60,940,292.625
P1_preserve,F3_combined,rate>20;OTI>54,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>20;OTI>60,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>20;OTI>70,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>20;OTI>80,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>20;OTI>90,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>20;OTI>100,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>20;OTI>150,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>20;OTI>200,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F3_combined,rate>20;OTI>236,reset,,10,1.0,10,0.0,0.0,3,0.010252,52,940,292.625
P1_preserve,F1_rate,rate>0.5,continue,,10,1.0,10,0.3,0.0,98,0.3349,138,940,292.625
P1_preserve,F1_rate,rate>1,continue,,10,1.0,10,0.0,0.0,27,0.092268,51,940,292.625
P1_preserve,F1_rate,rate>2,continue,,10,1.0,10,0.0,0.0,14,0.047843,35,940,292.625
P1_preserve,F1_rate,rate>3,continue,,10,1.0,10,0.0,0.0,6,0.020504,27,940,292.625
P1_preserve,F1_rate,rate>5,continue,,10,1.0,10,0.0,0.0,4,0.013669,23,940,292.625
P1_preserve,F1_rate,rate>10,continue,,10,1.0,10,0.0,0.0,3,0.010252,21,940,292.625
P1_preserve,F1_rate,rate>15,continue,,8,0.8,8,0.0,0.0,3,0.010252,13,940,292.625
P1_preserve,F1_rate,rate>20,continue,,8,0.8,8,0.0,0.0,3,0.010252,13,940,292.625
P1_preserve,F2_range,OTI>45,continue,,10,1.0,10,15.4,3.0,67,0.228962,404,940,292.625
P1_preserve,F2_range,OTI>48,continue,,10,1.0,10,9.5,0.0,41,0.140111,189,940,292.625
P1_preserve,F2_range,OTI>50,continue,,10,1.0,10,6.4,0.0,16,0.054677,89,940,292.625
P1_preserve,F2_range,OTI>52,continue,,10,1.0,10,1.2,0.0,3,0.010252,55,940,292.625
P1_preserve,F2_range,OTI>54,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>60,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>70,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>80,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>90,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>100,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>150,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>200,continue,,10,1.0,10,0.0,0.0,0,0.0,47,940,292.625
P1_preserve,F2_range,OTI>236,continue,,9,0.9,10,0.0,0.0,0,0.0,46,940,292.625
P1_preserve,F4_jump,|dOTI|>5,continue,,10,1.0,10,0.0,0.0,54,0.184537,77,940,292.625
P1_preserve,F4_jump,|dOTI|>10,continue,,10,1.0,10,0.0,0.0,20,0.068347,42,940,292.625
P1_preserve,F4_jump,|dOTI|>20,continue,,10,1.0,10,0.0,0.0,12,0.041008,33,940,292.625
P1_preserve,F4_jump,|dOTI|>30,continue,,10,1.0,10,0.0,0.0,5,0.017087,25,940,292.625
P1_preserve,F4_jump,|dOTI|>50,continue,,10,1.0,10,0.0,0.0,0,0.0,20,940,292.625
P1_preserve,F4_jump,|dOTI|>100,continue,,10,1.0,10,0.0,0.0,0,0.0,20,940,292.625
P1_preserve,F4_jump,|dOTI|>150,continue,,10,1.0,10,0.0,0.0,0,0.0,20,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>45,continue,,10,1.0,10,15.4,3.0,162,0.55361,522,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>48,continue,,10,1.0,10,9.5,0.0,137,0.468176,312,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>50,continue,,10,1.0,10,6.7,0.0,114,0.389577,215,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>52,continue,,10,1.0,10,1.5,0.0,101,0.345152,182,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>54,continue,,10,1.0,10,0.3,0.0,98,0.3349,174,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>60,continue,,10,1.0,10,0.3,0.0,98,0.3349,174,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>70,continue,,10,1.0,10,0.3,0.0,98,0.3349,174,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>80,continue,,10,1.0,10,0.3,0.0,98,0.3349,174,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>90,continue,,10,1.0,10,0.3,0.0,98,0.3349,174,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>100,continue,,10,1.0,10,0.3,0.0,98,0.3349,174,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>150,continue,,10,1.0,10,0.3,0.0,98,0.3349,174,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>200,continue,,10,1.0,10,0.3,0.0,98,0.3349,174,940,292.625
P1_preserve,F3_combined,rate>0.5;OTI>236,continue,,10,1.0,10,0.3,0.0,98,0.3349,174,940,292.625
P1_preserve,F3_combined,rate>1;OTI>45,continue,,10,1.0,10,15.4,3.0,91,0.310978,436,940,292.625
P1_preserve,F3_combined,rate>1;OTI>48,continue,,10,1.0,10,9.5,0.0,66,0.225545,226,940,292.625
P1_preserve,F3_combined,rate>1;OTI>50,continue,,10,1.0,10,6.4,0.0,43,0.146946,128,940,292.625
P1_preserve,F3_combined,rate>1;OTI>52,continue,,10,1.0,10,1.2,0.0,30,0.10252,95,940,292.625
P1_preserve,F3_combined,rate>1;OTI>54,continue,,10,1.0,10,0.0,0.0,27,0.092268,87,940,292.625
P1_preserve,F3_combined,rate>1;OTI>60,continue,,10,1.0,10,0.0,0.0,27,0.092268,87,940,292.625
P1_preserve,F3_combined,rate>1;OTI>70,continue,,10,1.0,10,0.0,0.0,27,0.092268,87,940,292.625
P1_preserve,F3_combined,rate>1;OTI>80,continue,,10,1.0,10,0.0,0.0,27,0.092268,87,940,292.625
P1_preserve,F3_combined,rate>1;OTI>90,continue,,10,1.0,10,0.0,0.0,27,0.092268,87,940,292.625
P1_preserve,F3_combined,rate>1;OTI>100,continue,,10,1.0,10,0.0,0.0,27,0.092268,87,940,292.625
P1_preserve,F3_combined,rate>1;OTI>150,continue,,10,1.0,10,0.0,0.0,27,0.092268,87,940,292.625
P1_preserve,F3_combined,rate>1;OTI>200,continue,,10,1.0,10,0.0,0.0,27,0.092268,87,940,292.625
P1_preserve,F3_combined,rate>1;OTI>236,continue,,10,1.0,10,0.0,0.0,27,0.092268,87,940,292.625
P1_preserve,F3_combined,rate>2;OTI>45,continue,,10,1.0,10,15.4,3.0,81,0.276805,424,940,292.625
P1_preserve,F3_combined,rate>2;OTI>48,continue,,10,1.0,10,9.5,0.0,55,0.187954,210,940,292.625
P1_preserve,F3_combined,rate>2;OTI>50,continue,,10,1.0,10,6.4,0.0,30,0.10252,112,940,292.625
P1_preserve,F3_combined,rate>2;OTI>52,continue,,10,1.0,10,1.2,0.0,17,0.058095,79,940,292.625
P1_preserve,F3_combined,rate>2;OTI>54,continue,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>60,continue,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>70,continue,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>80,continue,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>90,continue,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>100,continue,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>150,continue,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>200,continue,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>236,continue,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>3;OTI>45,continue,,10,1.0,10,15.4,3.0,73,0.249466,416,940,292.625
P1_preserve,F3_combined,rate>3;OTI>48,continue,,10,1.0,10,9.5,0.0,47,0.160615,202,940,292.625
P1_preserve,F3_combined,rate>3;OTI>50,continue,,10,1.0,10,6.4,0.0,22,0.075182,104,940,292.625
P1_preserve,F3_combined,rate>3;OTI>52,continue,,10,1.0,10,1.2,0.0,9,0.030756,71,940,292.625
P1_preserve,F3_combined,rate>3;OTI>54,continue,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>60,continue,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>70,continue,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>80,continue,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>90,continue,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>100,continue,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>150,continue,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>200,continue,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>236,continue,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>5;OTI>45,continue,,10,1.0,10,15.4,3.0,71,0.242631,414,940,292.625
P1_preserve,F3_combined,rate>5;OTI>48,continue,,10,1.0,10,9.5,0.0,45,0.15378,200,940,292.625
P1_preserve,F3_combined,rate>5;OTI>50,continue,,10,1.0,10,6.4,0.0,20,0.068347,101,940,292.625
P1_preserve,F3_combined,rate>5;OTI>52,continue,,10,1.0,10,1.2,0.0,7,0.023921,68,940,292.625
P1_preserve,F3_combined,rate>5;OTI>54,continue,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>60,continue,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>70,continue,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>80,continue,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>90,continue,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>100,continue,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>150,continue,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>200,continue,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>5;OTI>236,continue,,10,1.0,10,0.0,0.0,4,0.013669,60,940,292.625
P1_preserve,F3_combined,rate>10;OTI>45,continue,,10,1.0,10,15.4,3.0,70,0.239214,412,940,292.625
P1_preserve,F3_combined,rate>10;OTI>48,continue,,10,1.0,10,9.5,0.0,44,0.150363,198,940,292.625
P1_preserve,F3_combined,rate>10;OTI>50,continue,,10,1.0,10,6.4,0.0,19,0.06493,99,940,292.625
P1_preserve,F3_combined,rate>10;OTI>52,continue,,10,1.0,10,1.2,0.0,6,0.020504,66,940,292.625
P1_preserve,F3_combined,rate>10;OTI>54,continue,,10,1.0,10,0.0,0.0,3,0.010252,58,940,292.625
P1_preserve,F3_combined,rate>10;OTI>60,continue,,10,1.0,10,0.0,0.0,3,0.010252,58,940,292.625
P1_preserve,F3_combined,rate>10;OTI>70,continue,,10,1.0,10,0.0,0.0,3,0.010252,58,940,292.625
P1_preserve,F3_combined,rate>10;OTI>80,continue,,10,1.0,10,0.0,0.0,3,0.010252,58,940,292.625
