policy,filter_type,threshold,gap_policy,seed,events_detected_of_10,detection_rate,events_detected_in_zone_of_10,mean_lead_time_min,median_lead_time_min,false_alarm_episodes,false_alarm_rate_per_day,total_flagged_rows,data_anomaly_rows,normal_days
P1_preserve,F3_combined,rate>2;OTI>45,reset,,10,1.0,10,15.4,3.0,81,0.276805,424,940,292.625
P1_preserve,F3_combined,rate>2;OTI>48,reset,,10,1.0,10,9.5,0.0,55,0.187954,210,940,292.625
P1_preserve,F3_combined,rate>2;OTI>50,reset,,10,1.0,10,6.4,0.0,30,0.10252,112,940,292.625
P1_preserve,F3_combined,rate>2;OTI>52,reset,,10,1.0,10,1.2,0.0,17,0.058095,79,940,292.625
P1_preserve,F3_combined,rate>2;OTI>54,reset,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>60,reset,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>70,reset,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>80,reset,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>90,reset,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>100,reset,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>150,reset,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>200,reset,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>2;OTI>236,reset,,10,1.0,10,0.0,0.0,14,0.047843,71,940,292.625
P1_preserve,F3_combined,rate>3;OTI>45,reset,,10,1.0,10,15.4,3.0,73,0.249466,416,940,292.625
P1_preserve,F3_combined,rate>3;OTI>48,reset,,10,1.0,10,9.5,0.0,47,0.160615,202,940,292.625
P1_preserve,F3_combined,rate>3;OTI>50,reset,,10,1.0,10,6.4,0.0,22,0.075182,104,940,292.625
P1_preserve,F3_combined,rate>3;OTI>52,reset,,10,1.0,10,1.2,0.0,9,0.030756,71,940,292.625
P1_preserve,F3_combined,rate>3;OTI>54,reset,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>60,reset,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>70,reset,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>80,reset,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>90,reset,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>100,reset,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>150,reset,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>200,reset,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>3;OTI>236,reset,,10,1.0,10,0.0,0.0,6,0.020504,63,940,292.625
P1_preserve,F3_combined,rate>5;OTI>45,reset,,10,1.0,10,15.4,3.0,71,0.242631,414,940,292.625
P1_preserve,F3_combined,rate>5;OTI>48,reset,,10,1.0,10,9.5,0.0,45,0.15378,200,940,292.625
P1_preserve,F3_combined,rate>5;OTI>50,reset,,10,1.0,10,6.4,0.0,20,0.068347,101,940,292.625
P1_preserve,F3_combined,rate>5;OTI>52,reset,,10,1.0,10,1.2,0.0,7,0.023921,68,940,292.625
