policy,filter_type,threshold,gap_policy,event_id,event_crossing_time,detected,detected_in_zone,first_flag_time,lead_time_min
P1_preserve,F1_rate,rate>5,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F1_rate,rate>5,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F1_rate,rate>5,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F1_rate,rate>10,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F1_rate,rate>10,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F1_rate,rate>10,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F1_rate,rate>10,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F1_rate,rate>10,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F1_rate,rate>10,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F1_rate,rate>10,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F1_rate,rate>10,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F1_rate,rate>10,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:48:00,0.0
P1_preserve,F1_rate,rate>10,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F1_rate,rate>15,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F1_rate,rate>15,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F1_rate,rate>15,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F1_rate,rate>15,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F1_rate,rate>15,reset,5,2019-08-17 10:29:00,False,False,,
P1_preserve,F1_rate,rate>15,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F1_rate,rate>15,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F1_rate,rate>15,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F1_rate,rate>15,reset,9,2019-08-22 13:48:00,False,False,,
P1_preserve,F1_rate,rate>15,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F1_rate,rate>20,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F1_rate,rate>20,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:20:00,0.0
P1_preserve,F1_rate,rate>20,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F1_rate,rate>20,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F1_rate,rate>20,reset,5,2019-08-17 10:29:00,False,False,,
P1_preserve,F1_rate,rate>20,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F1_rate,rate>20,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F1_rate,rate>20,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
P1_preserve,F1_rate,rate>20,reset,9,2019-08-22 13:48:00,False,False,,
P1_preserve,F1_rate,rate>20,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:42:00,0.0
P1_preserve,F2_range,OTI>45,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:15:00,23.0
P1_preserve,F2_range,OTI>45,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 13:45:00,35.0
P1_preserve,F2_range,OTI>45,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F2_range,OTI>45,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F2_range,OTI>45,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F2_range,OTI>45,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F2_range,OTI>45,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F2_range,OTI>45,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:15:00,6.0
P1_preserve,F2_range,OTI>45,reset,9,2019-08-22 13:48:00,True,True,2019-08-22 13:00:00,48.0
P1_preserve,F2_range,OTI>45,reset,10,2019-09-03 14:42:00,True,True,2019-09-03 14:00:00,42.0
P1_preserve,F2_range,OTI>48,reset,1,2019-07-16 13:38:00,True,True,2019-07-16 13:38:00,0.0
P1_preserve,F2_range,OTI>48,reset,2,2019-08-09 14:20:00,True,True,2019-08-09 14:00:00,20.0
P1_preserve,F2_range,OTI>48,reset,3,2019-08-16 09:39:00,True,True,2019-08-16 09:39:00,0.0
P1_preserve,F2_range,OTI>48,reset,4,2019-08-16 12:39:00,True,True,2019-08-16 12:39:00,0.0
P1_preserve,F2_range,OTI>48,reset,5,2019-08-17 10:29:00,True,True,2019-08-17 10:29:00,0.0
P1_preserve,F2_range,OTI>48,reset,6,2019-08-17 13:03:00,True,True,2019-08-17 13:03:00,0.0
P1_preserve,F2_range,OTI>48,reset,7,2019-08-18 13:08:00,True,True,2019-08-18 13:08:00,0.0
P1_preserve,F2_range,OTI>48,reset,8,2019-08-19 15:21:00,True,True,2019-08-19 15:21:00,0.0
